Text,Types
A friend of mine was going for a walk near Northern Ridge and somebody started following her. She felt uncomfortable and started running and she escaped.,Stalking
"a friend of mine was sexually abused as a 12 year old child,by her swimming instructor for over two months. She did not realize the gravity of of the situation and what was done to her until, much later",Others
"taking pictures and commenting rude behaviour ,catcalls",Catcalls/Whistles
"A guy in my college used to stalk me everywhere. He intentionally blocked my path in the college when no one was college, Suddenly my friend came and I got rescued.",Stalking
while going tutions one boy always followed me and asked me HOW ARE YOU,Commenting
Eve Teasing,Ogling/Facial Expressions/Staring
"It happened to one of my friend ,her tution teacher harrased her for a long time",Commenting
Inappropriate touches in public transport like metro,Catcalls/Whistles
a guy unbuttoned his pant and tried to show his private parts tpo the group of girls,Ogling/Facial Expressions/Staring
She works as HR and during night journeys she feels unsafe.,Touching /Groping
"In bus, a guy tried to touch me and  in some area around, a group of boys were singing cheap songs.",Catcalls/Whistles
"going back home from the market, two boys in bikes started following me.",Catcalls/Whistles
"Staring, Touching",Ogling/Facial Expressions/Staring
NA,Touching /Groping
"While coming out from station, at the exit of station a group of boys were passing comments and staring continously.",Commenting
NA,Ogling/Facial Expressions/Staring
A guy was staring continuously at me.,Stalking
The person travelling with me in the share auto tried to touch me.,Touching /Groping
This survey is carried out by safecity (Red Dot Foundation) along with its safecity audit at street market in Mumbai.,Catcalls/Whistles
NA,Catcalls/Whistles
She is a working woman. The main reason she feels safe because its over crowded.,Catcalls/Whistles
NA,Ogling/Facial Expressions/Staring
Physically harassed & sexual invites.,Catcalls/Whistles
While climbing the stairs a person touched my butt and felt my back.,Touching /Groping
More like eve-teasing. Nothing to a very great extent but two guys tried to follow me on my way back home and behaved indecently.,Catcalls/Whistles
NA,Touching /Groping
"Our group of friends visited the a Water Park and a group of boys started following us,passing comments as well as taking photographs",Catcalls/Whistles
Feels safe at the station because there is safe atmosphere generally,Catcalls/Whistles
My friends and I went to have fun at the African shrine but some guys started touching and harassing us. I ran outside but we were followed. We were sexually assaulted and raped. Nobody could assist us. I never went there again.,Rape / Sexual Assault
Staring,Ogling/Facial Expressions/Staring
happened in the bus from hauz khas metro station,Ogling/Facial Expressions/Staring
This survey is carried out by safecity (Red Dot Foundation) along with its safecity audit at street market in Mumbai.,Commenting
This survey is carried out by safecity (Red Dot Foundation) along with its safecity audit at street market in Mumbai.,Catcalls/Whistles
I was in 10th and was returning from school when my neigbour who's like my uncle held my hand near colony rooms and just started telling me he loves me and used kind of words which were really uncomfortable.,Commenting
NA,Catcalls/Whistles
During the night the girl had entered the house and raped the girl,Taking pictures
THIS SURVEY IS CARRIED BY SAFECITY (RED DOT FOUNDATION) ALONG WITH ITS SAFETY AUDIT AT STREET MARKETS IN MUMBAI.,Catcalls/Whistles
NA,Ogling/Facial Expressions/Staring
"Touching, Ogling",Ogling/Facial Expressions/Staring
"I was leaving for Banglore , running late, before I could get down from the cab, the driver tried touching my thighs.",Touching /Groping
groped me in a crowded bus,Touching /Groping
I witnessed a 9 year old girl getting winked at by a 22 year old.,Commenting
A man started stalking me.,Commenting
Making facial expressions & staring continuously in an awkward way. Also face physical harassment.,Catcalls/Whistles
"While getting off from the train at the station, a man had taken the crowd as an advantage and touched me, although when I turned around I couldn't make out who it was.",Touching /Groping
I was on a scooty (alone) when two boys on a motorbike groped me. They started laughing when I screamed and drove as fast as they could. I was in shock that this could happen in Aligarh and could not note down the bike number.,Touching /Groping
ass was pinched,Touching /Groping
I board a train from Churchgate and there were people passing comments and stalking.,Commenting
A man tried to touch me when I was walking on the road.,Touching /Groping
This boy was drunk and started misbehaving,Touching /Groping
NA,Catcalls/Whistles
NA,Ogling/Facial Expressions/Staring
two guys were following our car and kept on commenting.,Catcalls/Whistles
NA,Ogling/Facial Expressions/Staring
NA,Touching /Groping
"My friend was standing in a one piece dress, a man noticed her and started making vulgar expressions.",Ogling/Facial Expressions/Staring
We were walking when a few guys passed remarks against us.,Commenting
"For the past 3 years, I've been stared at multiple times - every time in the chest area - on the crowded bridge connecting the Andheri metro and railways stations.",Ogling/Facial Expressions/Staring
NA,Chain Snatching
Ogling and facial expression,Ogling/Facial Expressions/Staring
NA,Catcalls/Whistles
NA,Catcalls/Whistles
it happens in trains,Touching /Groping
Feel safe at the station because of the lights and crowd,Ogling/Facial Expressions/Staring
I was being followed while on my way back home .,Commenting
"Touched, ogled etc",Catcalls/Whistles
Commenting,Commenting
commenting,Commenting
Harrasment,Catcalls/Whistles
"While I was travelling on my scooty, boys on the other scooty were commenting",Ogling/Facial Expressions/Staring
"Touching, ogling",Ogling/Facial Expressions/Staring
i was constantly being stared at and this has happened at several occassions,Ogling/Facial Expressions/Staring
NA,Ogling/Facial Expressions/Staring
NA,Touching /Groping
It has happened to someone i know. she was travelling in the metro as it was very crowded.. she was spanked.,Ogling/Facial Expressions/Staring
"Staring, Touching/Groping, Ogling",Ogling/Facial Expressions/Staring
"touching thrice in the metro station, same man and even walking the same way",Touching /Groping
A man was staring.,Ogling/Facial Expressions/Staring
"Touching, staring, sexual invites, commenting",Catcalls/Whistles
"Ogling, Stalking",Ogling/Facial Expressions/Staring
"On my way from work every evening, i see guys smoking indian hemp, touching and having sex in the dark by the road side at the bus stop. But i mind my own business.On a faithful day, i came across a girl being violated, on wanting to help her, i was badly beaten and my purse and phone stolen. Kindly help us map this area, so people will be aware and avoid being raped and harassed.",Touching /Groping
"My niece was sexually assaulted when sent in an errand. Her cloths were torn by the harasser who rough handled her when she was trying to escape. Commenting about her hip and figure, that he would sleep with her.",Stalking
My girlfriend went out at night to buy bread and indomie.she came back looking so sad.when i inquired she told me some guys harassed her. I went to caution the guys but i was threatened. Kindly help us put a stop to this.its too frequent in this area.,Touching /Groping
"On my street, i get harassed daily by the guys. They comment about my boobs and buttocks,and say the will have sex with me one day.they touch indecently but i always run from them. They do this because there is no street light.",Catcalls/Whistles
NA,Ogling/Facial Expressions/Staring
NA,Ogling/Facial Expressions/Staring
"Stalking, Staring, Touching, Invites.",Ogling/Facial Expressions/Staring
NA,Ogling/Facial Expressions/Staring
"When I returned to my house. In the way I watched that one girl waited the bus in huda city center. Some boys on bike came to girl's near and they are commented on them. But after some time bus had come, so she went by bus.",Commenting
people following you on your way back home while returning from job place or market at Barnala Punjab. Could not report as we were in their area and had to survive there for a whole area. If reported they might have gone away and later created more problem for us.,Stalking
My friend was on her way to her home when she was noticed by some goons of the village. She was initially whistled at but then those goons surrounded her and one of them grabbed her hand. She managed to free herself and fled from the spot.,Catcalls/Whistles
I was getting whistled at while i was in the main market.,Catcalls/Whistles
A girl was standing next to me and applying lipstick and the boys were commenting and singing cheap songs.,Commenting
A girl was standing next to me and applying lipstick and the boys were commenting and singing cheap songs.,Commenting
"while I was returning from my tution in the evening, a group of teenagers was commenting on the color combination I was wearing",Catcalls/Whistles
"A guy daily followed me while I  was going to my tutions,after some days he was trying to contact me",Poor / No Street Lighting
A scooter driver groped my back and made some indecent invites. Same thing happened with my friend.,Commenting
NA,Touching /Groping
Happened to another passenger. she was harassed for the dress she was wearing. two guys we passing comments on her.,Catcalls/Whistles
"I was standing in a queue of a ride,a boy standing behind me was taking advantage of pushing force and trying to grope me",Touching /Groping
"I was followed and tailed by a partially bald middle-aged man wearing an army shirt might be a police sepoy. he purposely jogged behind me and stopped as and when i did. It was all very sly on his part i even confirmed,ed it by stopping randomly.",Stalking
Was taking pictures.,Catcalls/Whistles
Was taking pictures.,Catcalls/Whistles
Was taking pictures.,Catcalls/Whistles
Was taking pictures.,Catcalls/Whistles
Touching / groping.,Touching /Groping
A man thought I was a prostitute and was offering money for one night.,Catcalls/Whistles
One evening inside the first class compartment a guy was staring at my friend and then tried to touch her .,Taking pictures
Taking pictures. Verbal teasing .,Catcalls/Whistles
He was following me since 2 days.,Others
While travelling in the train that man tried to touch the girl while she was against it.,Touching /Groping
"A transgender was asking for money when the auto stopped at the signal.When I refused him/her  ,he/she started touching my private parts .",Touching /Groping
I saw a man who does nothing but due to some kind of misunderstanding (regarding ATM) a lot of people hit him.,Others
I WITNESSED A CHAIN ROBBERY,Catcalls/Whistles
WHILE COMING FROM CLASSES I SAW A GROUP OF BOYS WERE TEASING A GIRL.,Catcalls/Whistles
I WAS WAITING FOR THE BUS. A MAN CAME ON A BIKE AND WAS OFFERING LIFTVTO YOUNG GIRLS.,Commenting
MY NEIGHBOUR ALWAYS SEEK A CHANCE TO GET CLOSE,Commenting
Being touched by a person; couldn't do much but stared back at him.,Touching /Groping
"Staring/ogling, touching, stalking, passing comments",Catcalls/Whistles
NA,Touching /Groping
Followed for a while by a group of boys,Catcalls/Whistles
Bus,Commenting
i was walking towards my house while this guy started commenting,Commenting
Being a student I travel daily,Catcalls/Whistles
A person was continuously staring & making comments on my looks.,Catcalls/Whistles
"Chain snatching today morning at 7:35 am , by two people on motorbike",Chain Snatching
NA,Commenting
"i was going back home at night, and a boy on the metro station was whistling",Catcalls/Whistles
sexual commenting,Commenting
victim was walking in inner circle when the accused used heavy tone to make obscene gestures.,Catcalls/Whistles
None.,Commenting
The riksha driver was whistling and commenting at every girl wearing shorts.,Catcalls/Whistles
I was walking in the inner circle when a boy used heavy tone to make obscene voices.,Catcalls/Whistles
A group of boys were commenting and trying to take pitures,Catcalls/Whistles
An auto riksha driver & his friend was abusing girls on street.,Commenting
"Near my college Lakshmibai, it happned.",Catcalls/Whistles
"i was stalked by a man while i was at the CS metro station. He followed me till new delhi metro station. As soon as i sat in the airport metro, the man came and sat on the seat right next to mine.I sensed something wrong and rushed to the last compartment of the metro.",Stalking
On metro a guy was continually staring & making me uncomfortable.,Ogling/Facial Expressions/Staring
My gay friend is constantly humiliated by some of his college friends because of his sexual nature.,Others
"Indecent Exposure (masturbation), indecent comments, whistling, jostling/touching others' body.",Catcalls/Whistles
was touched in the metro,Stalking
staring at private parts all the time.,Catcalls/Whistles
this incident happened near shiv mandir,Touching /Groping
"Ogling, Commenting",Commenting
i was sexually assaulted after a night of drinks with friends by acquaintance . he tried to forcefully get my clothing off .,Commenting
ये बश्ती मे आदिवासी सामाज के लोग रहेते हें  । यहाँ पर साम के वक़त बहोत खराब महौल होता हें । पूरी  बस्ती के लोग दारू पीते हें । दो बार  ईश विस्तार मे रेप हूँवा हें । यहाँ पर सिक्यूरिटी  की जरूरत हें ।,Sexual Invites
"In general class of the local train, people try to take photographs of the girls sitting in the ladies compartment in local train. This mostly happens in the afternoon and from the gents first class compartment which is right next to the ladies first class",Taking pictures
"In general class of the local train, people try to take photographs of the girls sitting in the ladies compartment in local train. This mostly happens in the afternoon and from the gents first class compartment which is right next to the ladies first class",Taking pictures
near a metro station,Touching /Groping
"When I'm mostly travelling in buses, trains et. It's happened to me.",Catcalls/Whistles
a person was taking pictures of private parts of all the girls who were walking by on the metro station,Taking pictures
alot of guys pass comments while going through.,Ogling/Facial Expressions/Staring
i was feeling elpless,Catcalls/Whistles
a man probably from the slum snatched my chain,Touching /Groping
a man on his bike was following me and was taking pictures from his phone,Taking pictures
i did not feel safe,Catcalls/Whistles
there was a large group of men who were not good in intention,Catcalls/Whistles
boys from some nearby slum were whistling,Catcalls/Whistles
I did not feel safe.,Catcalls/Whistles
"Touching/Groping, Commenting, Ogling, Sexual Invites",Commenting
It happened to a girl standing next to me. A group of boys were whistling and commenting at her.,Catcalls/Whistles
i was walking with my friend and both of us were teased,Catcalls/Whistles
"I was travelling from the bus after college, I got a seat and sat on it. The bus was crowed after sometime and a man entered and was constantly shaking and his crotch was touching my arms.",Touching /Groping
boys staring at the girls or laugh at them if they have worn a dress or shorts.,Indecent exposure
A friend was followed to her work place everyday,Stalking
NO street light,Poor / No Street Lighting
NA,Commenting
A man was clicking pictures of a girl secretly,Taking pictures
Got harassed at Rajiv Chowk metro station.,Ogling/Facial Expressions/Staring
NA,Touching /Groping
eveteasing,Stalking
Commenting,Commenting
NA,Catcalls/Whistles
I am a guy who resides near Charni Road.The night at incident I was waiting for my friend suddenly a person came and started stalking mr. He went and later came with 2 of his people and started stalking me again,Stalking
This has happened quite a number of times. So I was walking with my friend in the evening and 2-3 boys on a bike whistled at us.,Catcalls/Whistles
A man comes and groped my butt and walked off. It was crowded at that time so i couldn't catch hold off him.,Catcalls/Whistles
NA,Commenting
In the year 2016 mmcc boys hostel had a ill mannered rector. There lived 2 young boys in a room. The rector would go to their room and sleep naked and force them to follow as he would ask. On getting knowledge to college faculty he was expelled from college.,Sexual Invites
Someone commented on my looks and was continuously stalking me.,Commenting
"Ogling, Sexual Invites, Commenting, Touching, Stalking",Commenting
"DTC bus; CP-Chandni Chowk. I have experienced indecent exposure,  touching and prodding.",Catcalls/Whistles
"Ogling, Groping",Ogling/Facial Expressions/Staring
"Me, my friend and her sister were walking after attending her birthday. We were wearing dresses and a group of Kawads were passing by, hooting and passing comments.",Catcalls/Whistles
NA,Catcalls/Whistles
NA,Sexual Invites
NA,Touching /Groping
My friend's boyfriend tried to touch her private parts.,Catcalls/Whistles
Stalking,Stalking
was about to board a train just when these two men passed across me and murmured something very humiliating for me to hear.,Commenting
"There are lot of girls pg in sector 14, a guy in white scooty, might b activa in specs try to touch n comment girls.  4-5 times incident has happend.",Touching /Groping
this incident happened near my college,Commenting
near the park while i was walking,Commenting
I was ogled at while in the main market of lajpat nagar,Commenting
NA,Catcalls/Whistles
"Less female constables, not safe at late night",Ogling/Facial Expressions/Staring
touched few months back while walking on the station b,Ogling/Facial Expressions/Staring
catcalls,Ogling/Facial Expressions/Staring
Groping,Ogling/Facial Expressions/Staring
A boy was commenting in the metro,Commenting
NA,Touching /Groping
"In a crowded train, there as a man who was trying to pull my skirt and touching my privates.",Touching /Groping
"Commenting, Ogling, Touching, Sexual Invites",Commenting
happened in the J block market,Catcalls/Whistles
I was groped and catcalled at Kandivali railway station.,Catcalls/Whistles
"A policemen.Looked drunk by his eyes.Me and my friends were going home and she stopped us , shaked hands and gave those hand signals to me.",Ogling/Facial Expressions/Staring
My project manager has been harassing me repeatedly with sexual invites and immodest talks.,Sexual Invites
happened near the sreeram IAS institute,Stalking
NA,Touching /Groping
victim was followed by a group of boys who also made indecent facial expressions and passed obscene comments.,Commenting
Happened on a bus while coming to college,Catcalls/Whistles
"when I was crossing the crowd , a guy came and hit me badly and commented me that was unbearable.",Commenting
men walking at the station and on the sky walk touching and walking. also touching their elbows to my chest at Parla Station,Touching /Groping
men walking at the station and on the sky walk touching and walking. also touching their elbows to my chest at Parla Station,Touching /Groping
"In DTC bus, 764, Nehru Place, New Delhi. People used to touch Private Parts.",Ogling/Facial Expressions/Staring
NA,Commenting
"bad touch, groping",Others
have beed touched,Ogling/Facial Expressions/Staring
"Due to the nature of the victim's job which makes her come home late, on an ocassion some gang of boys cornered her, beat her, raped her and collected her phones and purse.she recognised one of them. We have been searching for the boys but to no luck.",Rape / Sexual Assault
My friends and I went to a party.We were given alcohol  and my friend got drunk. The guy she was with took advantaged of her helpless state to rape her. I could not help her.she later got pregnant due to this.,Rape / Sexual Assault
NA,Ogling/Facial Expressions/Staring
There was whistling and demeaning comments on the dress that I was wearing while returning from a party.,Catcalls/Whistles
a group of workers were clicking my pictures as i was running in a park. Multiple pictures were taken. I called the local security guard and snatched their phones and deleted my pictures.,Taking pictures
I go for a walk every morning and there is this lecherous guy always who stalks and stares all the ladies passing by.,Ogling/Facial Expressions/Staring
I was walking my way to the station when a man surreptitiously came from behind and touched by butt and fled.,Touching /Groping
"While waiting for a taxi outside Lilavati hospital at around 11 pm on a Friday evening, a man on motorcycle slowed in front of me and groped my breast harshly and drove away before I could push him down.",Touching /Groping
Victim was on hr way to the metro station when a group of boys catcalled and whistled to grab her attention.,Catcalls/Whistles
NA,Commenting
"I was waiting outside Lilavati hospital at around 11:30 pm on a weekday when a man on motorcycle slowed in front of me and groping my breast harshly, drove away before I could do anything.",Touching /Groping
"i was returning home and saw few boys staring at me, they then started commenting and followed me till the market",Ogling/Facial Expressions/Staring
followed to the office,Stalking
staring and commenting,Commenting
staring and commenting,Commenting
Facial expressions,Ogling/Facial Expressions/Staring
Sometimes she feels unsafe because of the crowd.,Commenting
catcalls,Catcalls/Whistles
NA,Catcalls/Whistles
tried touching her hair and then commented how beautiful she was.,Others
A drunk man was trying to harass a woman on the bus.,Catcalls/Whistles
"I was coming back from station. There was a guy who used to sit at a specific spot and whenever a girl passed by, he used to urinate facing towards the girl.",Sexual Invites
"A man around #0, tried to get hold of my back in Roadway bus while I was travelling back to my hometown.",Ogling/Facial Expressions/Staring
My friend was inappropriately touched by a man.,Touching /Groping
Inappropriate touching,Touching /Groping
"returning from classes , a guy said some indecent words to the victim.",Commenting
"returning from classes , a guy said some indecent words to the victim.",Commenting
a man was continuously following. He kept on coming closer and closer,Ogling/Facial Expressions/Staring
"In a bus, I had been touched inappropriately and that man got down immediately",Touching /Groping
There were six boys in 2 scooties. They were eve teasing me and my friend. The street was silent.,Catcalls/Whistles
Happened at a bus stop,Catcalls/Whistles
this incident happened in the evening while i was roaming with my friends,Catcalls/Whistles
NA,Touching /Groping
Happened while travelling in the DTC bus,Commenting
NA,Touching /Groping
I was on a rickshaw with my friend.Two boys on a bike came near our rickshaw and tried to snatch my phone from my hand.,Others
At old delhi railway station.,Others
"since i was new to the city and had nearly no idea of the routes, the auto driver misled me to a wrong place",Others
No,Commenting
NA,Ogling/Facial Expressions/Staring
NA,Touching /Groping
two men on a bike snatched a woman's chain while she was crossing road,Chain Snatching
happened in the metro,Catcalls/Whistles
A guy was taking pictures of a girl in metro. Police was called.,Taking pictures
"In the bus (764), near IIT.",Commenting
Inappropriate comments in a restaurant.,Commenting
"getting inappropriate phone calls and whatsapp messages, always being stalked.",Stalking
Catcalls,Catcalls/Whistles
In afternoon at kamla nagar.,Touching /Groping
None.,Catcalls/Whistles
Metro was crowded & I was holding two bags. A man tried to touch my genitals.,Touching /Groping
"I was walking towards the Bandra Gymkhana on D'monte Park road on 15th August (independence day... for whom?) at around 10pm and was groped by a biker who rode by, grabbed my butt and then looked back to smirk at me as he rode past. I was walking on the road as the footpaths are uneven and I could not get his license plate as the lighting is very dim. This is a frequent event on this road and The ALM has already asked for better lighting but the BMC will not cooperate.",Ogling/Facial Expressions/Staring
while having a walk after dinner a bike passed by in which 2 persons were sitting.They whistled and cat called.,Catcalls/Whistles
Catcalling and eve teasing near the railway station. From jogeshwari to grant road station. This happens mostly everyday when travelling.,Catcalls/Whistles
Harassment by a biker,Ogling/Facial Expressions/Staring
child abusement,Touching /Groping
touching various body parts.,Touching /Groping
Being sexually harassed at night.,Stalking
A man was staring continuously,Ogling/Facial Expressions/Staring
i was touched unappropriated,Commenting
This has happened twice now that random bikers ask me if I want to come with them. The first time happened a month ago at around 7:30 pm when I was walking on the forever deserted footpath from wadala station and then this biker first asks me for directions and then asks me if I want to come along with him and he continues to follow me till I take out my phone and he leaves. The second time happened on Saturday 13th August 2016 at 10:30 pm when I was walking near Wadala station and this biker stopped his bike right in front of me and started using different facial expressions. Thankfully my parents came to pick me up at that time. But the biker managed to get away before I could complain. The entire R A Kidwai road stretch has been very dangerous and scary for women to walk on because of the deserted street.,Ogling/Facial Expressions/Staring
I was being ogled at while travelling in the metro.,Catcalls/Whistles
I was stared at outside Gate 5 of Saki Naka Metro station while I was waiting for a cab. This happened multiple times.,Ogling/Facial Expressions/Staring
A guy tried to click my pictures and was staring at me while I was coming out from the Kurla station,Ogling/Facial Expressions/Staring
A guy tried to click my pictures and was staring at me while I was coming out from the Kurla station,Ogling/Facial Expressions/Staring
A man was urinating facing the road near hansraj college and flashing the pedestrians.,Others
"Beggar Harassing, touching",Ogling/Facial Expressions/Staring
"Touching, sexual invites- scream and pushed him.",Touching /Groping
"This incident happened with one of my friends, near the railway line of Chanakyapuri, one man came and was continuously commenting and stalking.",Commenting
the victim was stalked from the bus stop to her home by the accused.,Stalking
NA,Catcalls/Whistles
the victim was minding her own way when the accused came in a scooty from behind and touched her intentionally .,Touching /Groping
someone came on a scooty from behind the victim and touched her intentionally.,Touching /Groping
NA,Catcalls/Whistles
A police man was behaving in inappropriate ways with some gay men.,Sexual Invites
NA,Touching /Groping
NA,Catcalls/Whistles
A boy use to stalk my friend since 3 days . He use to stop where she stops. And watch her continuously.,Stalking
NA,Commenting
a man touched me in a wrong way,Touching /Groping
a 5 year old girl was touched on her private part by a young man who tried to defile her,Sexual Invites
"i was in the market with my friend, when some boys were staring at us and they started commenting etc",Commenting
In metro station a man in the crowd tried to touch my body parts in general compartment.,Touching /Groping
"it happened in the metro, the guy was middle aged and was very annoying",Indecent exposure
a friend of mine was walking down a lane next to her house when a guy on a bike slapped her breast. since he was on a bike he rode away before she could do anything,Touching /Groping
happened during the morning time a month ago.,Catcalls/Whistles
people are scared due to less street lights.,Poor / No Street Lighting
A girl was sitting beside me. Few boys were following her from last few metro stations and were passing weird comments.,Commenting
poor lightining in ameya park,Poor / No Street Lighting
was walking past a store when i noticed a man looking towards me making expressions and commented on me while returning.,Commenting
"A man was clicking pictures of one of my friends. When i tried to catch hold of him, he fled.",Taking pictures
I and my friend were whistled at by three men.,Catcalls/Whistles
group of boys first stalked the victim and then on getting opportunity made comments which was embarrasing for her.,Commenting
She does not feel safe at the station.,Commenting
A guy was staring at me continuously while I was waiting for the train.,Commenting
"Singing out loud cheap songs, a man was found giving sexual invites to us at mid- night.",Commenting
Eve teasing,Commenting
"A week ago, I was returning at night from a party and got off from the rickshaw right outside my building when a drunkard randomly stood next to me staring continuously at me and the rick guy. I asked the rick guy to wait till he saw me enter by building wing and then leave. I RAN FOR MY LIFE!!",Ogling/Facial Expressions/Staring
in the bus,Touching /Groping
the local chawl men have been calling her names cause she has seperated from her husband,Commenting
I was cycling early morning when a man came from behind and touched me inappropriately.,Commenting
NA,Touching /Groping
following form saliee school to link view resto,Stalking
i can not explain,Ogling/Facial Expressions/Staring
"After school, i was walking back to my home, a mid 20's guy, seems to be educated but still did something soo cheap, by making bad comments that makes me afraid to travel alone.",Commenting
"Want to cry when, perverts make such comments.",Commenting
"It was around 5p.m. After college i was returning back towards metri station, while i came across some drunk boys, who were taking pictures of mine and commenting. It feels unsafe to travel alone.",Commenting
"i was walking towards ddar station around 10;30 am from podar college and reaching half way, 6 group of boys crossed me, and 2 boys on their bikes came back and passed some disrepectful comments and kissing faces",Commenting
no lights at all and drunkards over here,Poor / No Street Lighting
no lights at all and drunkards over here,Poor / No Street Lighting
The street lights are poorly lit. It's too difficult to walk through the street as there are higher chances of getting eveteased.,Poor / No Street Lighting
"There is no street light available at T point of road near open ground in Sec-3, Vasundhara.This point ids deprived of streetlights unlike  all such types of T points in area .Moreover there are n nubmer of poors residing in slums set in that locality which makes the condition even pathetic.That area gets very dark and creepy at night.Due to this frequent accidents and other unwanted incidents take place .The poor living there are highly affected and always live with a fear and a risk of some mishappening to take place at any point of time during the night.",Poor / No Street Lighting
Missing street lights in many parts,Poor / No Street Lighting
No street lights in many parts,Poor / No Street Lighting
No street lights in many parts of this area,Poor / No Street Lighting
NA,Catcalls/Whistles
poor lightings on the street,Poor / No Street Lighting
"I went to meet my boyfriend to that college where a group of men stand near the gate of the college and probably if they find then one attractive, they follow her till she reaches her class or wherever in the college and so did happen with me and whole following they even pass some comments and do body shaping.",Commenting
NA,Touching /Groping
i was walking down to this cafe along with my friend and a guy started singing some tacky bollywood song pointing towards us,Catcalls/Whistles
"Been stalked by a stranger, lot of staring.",Catcalls/Whistles
"I took a bus Nepal Yatayat from New Baneshwor to Teaching hospital.The bus was almost empty only few people were sitting inside.I went and sit in a second last seat there were one man already he let me seat in a window side.After some time that guy hold my hand and forcibly grad it into his penis and masturbated it from my hand,It was so scary...I couldn't do anything...Then I shouted to the conductor to stop the bus and I got off the bus in Putalisadak.",Touching /Groping
Two boys were on bike and commented abusive words when i was with my three friends,Commenting
"Poor street lighting, North east Report, Faced many harassment very frequently.",Catcalls/Whistles
I was stalked by a boy regularly when i used to go to school in the morning and i had to wait at the bus stop.,Ogling/Facial Expressions/Staring
happened in hauz khas village-the fort.,Rape / Sexual Assault
There is hardly any light on the road and almost all of the street lights are broken. There are often drunken guys walking on the road. Very unsafe.,Poor / No Street Lighting
I WAS WALKING TO THE STATION AND SUDDENLY SOME GUY RUNS HIS HAND DOWN MY BACK.,Touching /Groping
cheap comments from stranger,Commenting
"There is no proper street lighting in this area and it therefore becomes unsafe for girls, specially at night.",Poor / No Street Lighting
"There is no proper street lighting in this area and it therefore becomes unsafe for girls, specially at night.",Poor / No Street Lighting
Females usually feel very unsafe in this area at night due to poor street lights.Often there is no electricity.,Poor / No Street Lighting
"There is lack of proper lighting in this area, which has made it unsafe to walk out of the metro station at night.",Poor / No Street Lighting
Me & my friend were at state bank ATM. Suddenly a man came & forcefully took all the money from her.,Others
"The place is extremely unsafe for all the foreign tourists, and I have witnessed people taking pictures, calling names and behaving inappropriately with them.",Catcalls/Whistles
I was touched inappropriately.,Touching /Groping
People made vulgar remarks about me.,Commenting
Whistling & catcalls.,Catcalls/Whistles
She sometimes feels unsafe. It depends on the crowd.,Commenting
"While i was waiting for my metro, a guy started commenting about me to his friend which made me very uncomfortable.",Commenting
"When i was waiting for my metro, a guy next to me started commenting about me to his friend which made me very uncomfortable.",Commenting
i was been stared at,Commenting
NA,Ogling/Facial Expressions/Staring
commenting,Commenting
catcalls/whistles,Catcalls/Whistles
It was a horrible experience.,Touching /Groping
very poor lighting in this area ans unsafe in night,Poor / No Street Lighting
can't explain,Ogling/Facial Expressions/Staring
"i was standing outside of my college and there was a bunch of cheapster sitting in front of us, they are whistling and commenting",Catcalls/Whistles
abusive glares passed at women,Commenting
"i was coming back from borivali, in the train a guy along with this two were taking pictures",Taking pictures
i was sitting in the audi completing my journal and two senior guys passed few comments.,Commenting
i was helpless,Indecent exposure
Harrased by a Eunuch.,Touching /Groping
I was trying to get an auto post shopping and there was this guy who was clicking pictures,Taking pictures
In evening.,Chain Snatching
a guy used to comment at my sister on her way to tuitions,Commenting
The service road leading to the junction is extremely dimly lit. Some anti-social elements are often seen loitering around this area!,Touching /Groping
I was touched inappropriately.,Commenting
It happened to me in 9th class.My private tutor was teaching me maths. he asked to to watch some internet. he started touching my thigh and I felt so uncomfortable. I ran out of there and went home. I told my parents. They scolded him and told me to never share this incident.,Touching /Groping
I was travelling from a bus to a restaurant nearby when i noticed certain group of men staring at me openly. None intervened to stop them. I felt so powerless.,Stalking
catcalls/whistles,Catcalls/Whistles
catcalls/whistles,Catcalls/Whistles
"This village hardly gets electricity. Whole of the night there would be no electricity in the village, forget street lights. The village remains under total darkness in the night and is unsafe for girls.",Poor / No Street Lighting
COMMENTING,Commenting
Groping,Touching /Groping
Due to poor street lights it becomes very creepy and unsafe for not only women but everyone thee.,Poor / No Street Lighting
my rent holder used to touch me in a very weird way,Touching /Groping
a boy was commenting in the metro,Commenting
"Everyday in Makinde street, sexual harassment, sexual invites, commenting, catcalls, occur. Little children also are victims. I have heard of rape issues at this spot. One of the reasons is lack of street light. So the harassers hide in the dark to commit this evil.",Catcalls/Whistles
"We came out from mall around 10 pm, We were walking with friends and suddenly two guys on their back tried snatching one of my friends bag. Luckily she was holding it real tight",Others
I was whistled at by somebody outside grant road station. I ignored it and left the place.,Catcalls/Whistles
"It feels unsafe to travel even nearby my society, after the incident of groping me in my back in public by a old guy. I wanted to scream, i wanted to cry:'(",Touching /Groping
this happened in the morning time during a walk when the girl was touched inappropriately and the person ran away before the girl's reaction,Touching /Groping
Guys touch or try to press your butts,Touching /Groping
the localites deal with the stares and comments on a daily basis.,Catcalls/Whistles
